Pnum,Section,Owner,Mixed species,Species,State code,Closed,Clear date,Missing entire brood,Suspected predation,Lay date,April lay date,Lay date uncertainty,Lay date visit interval,Laying rate,Incubation started,Num broken eggs,Expected hatch date,Hatch date,April hatch date,Incubation duration,Total egg weight,Num eggs weighed,Clutch size,Num chicks,Num chicks ringed,April ring date,Ring day,Num live chicks,Num dead chicks,Num fledglings,Mean chick weight,Num linked pulli records,Num linked adult records,Father,Mother,Identified adults,Chick ids,Dead ringed chick ids,Experiment codes,Num eggs manipulated,Comments,Legacy average egg weight,Legacy max nest state code,Legacy last visit date,Legacy hatch age in days,Legacy april hatch date,Legacy predation,Legacy clutch accuracy,Legacy mean fledge weight,Legacy num ringed dead chicks
20201B154,b,Keith Mc Mahon,false,,6,true,26-05-2020,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B155,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B156,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B157,b,Keith Mc Mahon,false,b,6,true,04-06-2020,,,23-04-2020,23,0,3,1.00,true,0,13-05-2020,12-05-2020,42,12,3.40,3,8,8,8,56,15,8,1,7,10.33,8,2,z101406,afh4434,"afh4434, z101406",,avl3407,,0,"fon, nothing on fp, fon no count",,,,,,,,,
20201B158,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B159,b,Keith Mc Mahon,false,b,6,true,23-04-2020,,,16-04-2020,16,2,6,,,0,,,,,3.70,3,5,,0,,,,0,0,,0,0,,,,,,,0,"bluti inside, bracket fell of rotting trunk",,,,,,,,,
20201B16,b,Richard Cope,false,b,6,true,27-05-2020,,,21-04-2020,21,0,7,1.00,true,0,12-05-2020,13-05-2020,43,14,3.60,3,9,7,0,,,,5,0,,0,1,,j215800,j215800,,,,0,"FON, FON",,,,,,,,,
20201B160,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B161,b,Keith Mc Mahon,false,g,6,true,04-06-2020,,,15-04-2020,15,0,6,,true,0,06-05-2020,06-05-2020,36,13,5.30,3,9,8,8,50,15,8,0,8,18.70,8,3,te80930,tw77018,"011017734f, te80930, tw77018",,,,0,"female unringed, not hatched",,,,,,,,,
20201B162,b,Keith Mc Mahon,false,b,6,true,04-06-2020,,,20-04-2020,20,0,6,1.00,true,0,10-05-2020,09-05-2020,39,11,3.70,3,9,9,9,53,15,9,0,9,22.24,9,2,afh2637,,"01103f43a4, afh2637",,,,0,female unringed,,,,,,,,,
